School/Location,November 2021,November 2021,October 2021,October 2021,September 2021,September 2021,August 2021,August 2021,July 2021,July 2021
School/Location,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff
Alma Preschool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Castro Valley Elementary School,0,0.0,2,0.0,2,0.0,5,0.0,0,0.0
Chabot Elementary School,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Independent Elementary School,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0
Jensen Ranch Elementary School,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0
Marshall Elementary School,0,0.0,6,0.0,3,0.0,1,1.0,0,0.0
Palomares Elementary School,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Proctor Elementary School,0,0.0,0,0.0,2,0.0,3,0.0,0,0.0
Stanton Elementary School,0,0.0,0,0.0,3,0.0,4,0.0,0,0.0
Vannoy Elementary School,0,0.0,0,0.0,0,0.0,4,0.0,0,0.0
Canyon Middle School,0,0.0,0,1.0,4,0.0,4,2.0,0,1.0
Creekside Middle School,0,0.0,0,1.0,2,0.0,1,0.0,0,0.0
Castro Valley High School,0,0.0,1,4.0,3,2.0,7,1.0,1,0.0
Redwood High School / Roy A. Johnson,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
Castro Valley Adult & Career Education,0,0.0,0,0.0,4,0.0,0,0.0,0,0.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,0.0,-,1.0,-,0.0,-,1.0,-,0.0
DISTRICT TOTAL:,0,0.0,11,7.0,24,2.0,32,5.0,1,1.0
"Updated October 28, 2021",,,,,,,,,,
,,,,,,,,,,
