School/Location,February 2023,February 2023,January 2023,January 2023,December 2022,December 2022,November 2022,November 2022,October 2022,October 2022,September 2022,September 2022,August 2022,August 2022,July 2022,July 2022
School/Location,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff,Students,Staff
Alma Preschool,0,1.0,0,0.0,0,1.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0
Castro Valley Elementary School,5,1.0,3,2.0,6,3.0,5,2.0,4,0.0,4,4.0,3,0.0,0,1.0
Chabot Elementary School,4,6.0,4,0.0,10,1.0,6,0.0,1,2.0,7,0.0,12,0.0,0,0.0
Independent Elementary School,3,0.0,3,2.0,20,2.0,12,0.0,12,0.0,6,0.0,11,3.0,0,0.0
Jensen Ranch Elementary School,1,0.0,2,0.0,5,2.0,4,1.0,3,0.0,1,0.0,4,0.0,0,0.0
Marshall Elementary School,2,2.0,6,0.0,8,4.0,2,1.0,4,3.0,4,1.0,10,1.0,0,0.0
Palomares Elementary School,0,0.0,1,0.0,3,1.0,2,1.0,0,0.0,0,0.0,1,0.0,0,0.0
Proctor Elementary School,6,0.0,2,0.0,9,2.0,10,0.0,18,1.0,11,1.0,6,1.0,0,1.0
Stanton Elementary School,4,1.0,1,1.0,9,7.0,7,1.0,2,2.0,1,0.0,13,2.0,0,0.0
Vannoy Elementary School,3,1.0,2,0.0,12,0.0,10,0.0,1,0.0,1,0.0,14,1.0,0,0.0
Canyon Middle School,9,1.0,14,4.0,26,4.0,16,2.0,9,1.0,9,1.0,14,3.0,0,1.0
Creekside Middle School,5,1.0,3,0.0,20,3.0,6,1.0,15,0.0,3,0.0,20,2.0,0,0.0
Castro Valley High School,13,2.0,11,3.0,88,11.0,17,5.0,43,8.0,40,2.0,39,6.0,2,2.0
Redwood High School / Roy A. Johnson,0,0.0,0,0.0,1,2.0,0,0.0,1,0.0,1,0.0,0,1.0,0,0.0
Castro Valley Adult & Career Education,0,1.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,2.0
"District Departments(i.e. District Office, MOT, CN, etc.)",-,1.0,-,1.0,-,2.0,-,0.0,-,0.0,-,1.0,-,1.0,-,1.0
DISTRICT TOTAL:,55,18.0,52,13.0,218,45.0,99,14.0,114,17.0,88,10.0,148,21.0,2,8.0
"Updated February 15, 2023",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
